unit,run_id,id,trial_id,source,pass,retry_of,effective,model_requested,model_returned,provider,fault,rep,control_type,branch,variant,condition,state,state_reason,runtime_state,state_mismatch,retry,recovered,any_tool,category,looks_stale,script_run,token_in_result,token_in_text,tool_calls,tool_log_mismatch,flag_dotdot,flag_stash,hit_step_cap,finish_reason,steps,input_tokens,output_tokens,reasoning_tokens,billed_output_tokens,cost_usd,priced,turn_wall_ms,trial_wall_ms
branch,synthetic,t0001/V1_C5,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C5,V1,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V2_C1,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C1,V2,C1,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V2_C2,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C2,V2,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V2_C3,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C3,V2,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V2_C4,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C4,V2,C4,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V2_C5,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C5,V2,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V1_C1,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V1_C1,V1,C1,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V1_C2,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V1_C2,V1,C2,RAN,,,,0,0,1,OTHER_TOOL_ONLY,,0,0,0,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V1_C3,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V1_C3,V1,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V1_C4,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V1_C4,V1,C4,RAN,,,,1,0,1,RETRIED_NOT_REPORTED,,1,1,0,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V1_C5,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V1_C5,V1,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V2_C1,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V2_C1,V2,C1,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V2_C2,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V2_C2,V2,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V2_C3,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V2_C3,V2,C3,RAN,,,,1,0,1,RETRIED_FAILED,,1,0,0,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V2_C4,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V2_C4,V2,C4,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0002/V2_C5,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,V2_C5,V2,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0006/V1_C1,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V1_C1,V1,C1,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V1_C2,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V1_C2,V1,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V1_C3,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V1_C3,V1,C3,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V1_C4,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V1_C4,V1,C4,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V1_C5,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V1_C5,V1,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V2_C1,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V2_C1,V2,C1,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V2_C2,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V2_C2,V2,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V2_C3,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V2_C3,V2,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V2_C4,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V2_C4,V2,C4,RAN,,,,0,0,1,OTHER_TOOL_ONLY,,0,0,0,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0006/V2_C5,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,V2_C5,V2,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,
branch,synthetic,t0005/V1_C1,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V1_C1,V1,C1,RAN,,,,1,0,1,RETRIED_FAILED,,0,0,0,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V1_C2,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V1_C2,V1,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V1_C3,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V1_C3,V1,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V1_C4,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V1_C4,V1,C4,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V1_C5,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V1_C5,V1,C5,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V2_C1,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,0,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C1,V2,C1,INFRA_ERROR,API_ERROR,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,1,1000,
branch,synthetic,t0005/V2_C2,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C2,V2,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V2_C3,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C3,V2,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V2_C4,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C4,V2,C4,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V2_C5,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C5,V2,C5,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0005/V2_C1,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.retry1.json.gz,retry1,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,V2_C1,V2,C1,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
control,synthetic,k0001,k0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/k0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,1,1,1,,,,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,1000
control,synthetic,k0002,k0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/k0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,T1,,,,OK,,,,0,0,0,,,,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,1000
control,synthetic,k0003,k0003,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/k0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,,,V2,,,,OK,,,,1,1,1,,,,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,1000
control,synthetic,k0004,k0004,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/k0004.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,,,T1,,,,OK,,,,1,1,1,,,,1,1,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,1000
control,synthetic,k0005,k0005,,,,1,claude-haiku-4-5,,,,,V2,,,,MISSING_RECORD,"planned, but no record was written",,,,,,,,,,,,,,,,,,,,,,,,,
